Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
Sh2-33;HII;15:59:52.37;-01:37:02.8;;35;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 33; Sh 2-33; S33";;"form: irregular; struct: intermediate; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-34;HII;18:06:24.50;-21:39:30.2;;90;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 34; Sh 2-34; S34";;"form: irregular; struct: intermediate; bright: 2/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-35;HII;18:15:50.69;-20:15:07.5;;20;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 35; Sh 2-35; S35";;"form: irregular; struct: amorphous; bright: 2/3; stars: 5";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-36;HII;16:05:30.33;+00:23:40.1;;45;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 36; Sh 2-36; S36";;"form: circular; struct: intermediate; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-37;HII;18:17:43.12;-19:39:51.0;;20;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 37; Sh 2-37; S37";;"form: irregular; struct: intermediate; bright: 2/3; stars: 3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-38;HII;18:08:45.54;-18:16:09.0;;3;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 38; Sh 2-38; S38";;"form: irregular; struct: intermediate; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-39;HII;18:16:46.49;-18:38:59.0;;3;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 39; Sh 2-39; S39";;"form: irregular; struct: amorphous; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-40;HII;18:12:02.18;-17:44:40.3;;15;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 40; Sh 2-40; S40";;"form: irregular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-41;HII;18:15:51.42;-18:14:07.0;;90;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 41; Sh 2-41; S41";;"form: irregular; struct: intermediate; bright: 2/3; stars: 6";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-42;HII;18:10:17.81;-16:48:55.3;;3;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 42; Sh 2-42; S42";;"form: irregular; struct: amorphous; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-43;HII;18:16:25.27;-17:24:01.9;;15;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 43; Sh 2-43; S43";;"form: elliptical; struct: amorphous; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-44;HII;18:16:29.57;-16:44:01.1;;60;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 44; Sh 2-44; S44";;"form: irregular; struct: intermediate; bright: 2/3; stars: 2";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-45;HII;18:20:46.12;-16:10:23.7;;60;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 45; Sh 2-45; S45";;"form: irregular; struct: filamentary; bright: 3/3; stars: 6";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-46;HII;18:06:11.14;-14:09:30.8;;25;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 46; Sh 2-46; S46";;"form: elliptical; struct: intermediate; bright: 2/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-47;HII;18:17:44.73;-15:36:50.0;;5;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 47; Sh 2-47; S47";;"form: circular; struct: intermediate; bright: 2/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-48;HII;18:22:24.13;-14:35:09.2;;10;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 48; Sh 2-48; S48";;"form: irregular; struct: intermediate; bright: 2/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-49;HII;18:18:40.61;-13:57:41.6;;90;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 49; Sh 2-49; S49";;"form: irregular; struct: filamentary; bright: 3/3; stars: 10";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-50;HII;18:25:30.41;-14:42:42.2;;35;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 50; Sh 2-50; S50";;"form: irregular; struct: intermediate; bright: 2/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
