Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
Sh2-202;HII;03:18:51.53;+59:38:02.4;;170;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 202; Sh 2-202; S202";;"form: irregular; struct: intermediate; bright: 1/3; stars: 8";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-203;HII;03:22:01.02;+54:52:40.0;;45;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 203; Sh 2-203; S203";;"form: circular; struct: intermediate; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-204;HII;03:55:45.65;+57:25:44.2;;40;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 204; Sh 2-204; S204";;"form: irregular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-205;HII;03:56:08.16;+53:11:39.8;;120;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 205; Sh 2-205; S205";;"form: irregular; struct: intermediate; bright: 2/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-206;HII;04:03:13.07;+51:19:46.3;;50;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 206; Sh 2-206; S206";;"form: irregular; struct: intermediate; bright: 3/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-207;HII;04:20:04.96;+53:08:37.2;;4;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 207; Sh 2-207; S207";;"form: circular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-208;HII;04:19:45.90;+52:58:39.6;;1;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 208; Sh 2-208; S208";;"form: circular; struct: intermediate; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-209;HII;04:11:03.01;+51:09:46.6;;14;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 209; Sh 2-209; S209";;"form: irregular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-210;HII;04:30:59.09;+52:33:10.5;;20;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 210; Sh 2-210; S210";;"form: irregular; struct: amorphous; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-211;HII;04:36:57.80;+50:56:21.7;;2;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 211; Sh 2-211; S211";;"form: irregular; struct: intermediate; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-212;HII;04:40:37.76;+50:22:51.7;;5;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 212; Sh 2-212; S212";;"form: circular; struct: intermediate; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-213;HII;04:20:42.96;+44:55:29.6;;1;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 213; Sh 2-213; S213";;"form: irregular; struct: intermediate; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-214;HII;04:21:34.90;+44:22:22.6;;4;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 214; Sh 2-214; S214";;"form: circular; struct: amorphous; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-215;HII;04:17:32.95;+42:36:53.8;;2;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 215; Sh 2-215; S215";;"form: irregular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-216;HII;04:44:57.03;+46:49:15.1;;80;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 216; Sh 2-216; S216";;"form: irregular; struct: intermediate; bright: 2/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-217;HII;04:58:47.51;+48:00:20.5;;9;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 217; Sh 2-217; S217";;"form: elliptical; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-218;HII;05:41:16.57;+52:11:18.3;;70;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 218; Sh 2-218; S218";;"form: elliptical; struct: amorphous; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-219;HII;04:56:08.01;+47:23:42.5;;3;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 219; Sh 2-219; S219";;"form: elliptical; struct: intermediate; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-220;HII;04:00:38.37;+36:37:02.1;;320;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 220; Sh 2-220; S220";;"form: irregular; struct: intermediate; bright: 3/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-221;HII;05:01:40.01;+46:20:55.8;;120;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 221; Sh 2-221; S221";;"form: irregular; struct: intermediate; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-222;HII;04:30:09.85;+35:16:12.2;;6;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 222; Sh 2-222; S222";;"form: irregular; struct: intermediate; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-223;HII;05:17:11.90;+42:12:42.6;;70;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 223; Sh 2-223; S223";;"form: irregular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-224;HII;05:27:16.12;+42:58:16.3;;30;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 224; Sh 2-224; S224";;"form: irregular; struct: filamentary; bright: 2/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-225;HII;05:27:00.38;+40:37:17.8;;10;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 225; Sh 2-225; S225";;"form: irregular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-226;HII;05:11:06.82;+37:59:33.4;;3;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 226; Sh 2-226; S226";;"form: irregular; struct: intermediate; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-227;HII;05:19:53.28;+38:57:18.6;;20;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 227; Sh 2-227; S227";;"form: irregular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-228;HII;05:13:35.12;+37:27:12.2;;8;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 228; Sh 2-228; S228";;"form: irregular; struct: intermediate; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-229;HII;05:16:18.98;+34:27:48.1;;65;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 229; Sh 2-229; S229";;"form: irregular; struct: intermediate; bright: 3/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-230;HII;05:22:30.37;+34:07:54.9;;300;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 230; Sh 2-230; S230";;"form: irregular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-231;HII;05:39:19.57;+35:55:29.8;;12;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 231; Sh 2-231; S231";;"form: irregular; struct: amorphous; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-232;HII;05:42:26.69;+36:12:02.8;;40;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 232; Sh 2-232; S232";;"form: elliptical; struct: intermediate; bright: 2/3; stars: 2";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-233;HII;05:38:43.07;+35:47:35.1;;2;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 233; Sh 2-233; S233";;"form: irregular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-234;HII;05:28:07.78;+34:26:06.5;;12;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 234; Sh 2-234; S234";;"form: irregular; struct: intermediate; bright: 3/3; stars: 4";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-235;HII;05:41:01.39;+35:51:15.1;;10;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 235; Sh 2-235; S235";;"form: irregular; struct: intermediate; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-236;HII;05:22:33.83;+33:21:54.3;;55;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 236; Sh 2-236; S236";;"form: irregular; struct: intermediate; bright: 3/3; stars: 5";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-237;HII;05:31:25.45;+34:16:38.0;;7;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 237; Sh 2-237; S237";;"form: irregular; struct: intermediate; bright: 3/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-238;HII;04:21:49.98;+19:32:15.8;;1;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 238; Sh 2-238; S238";;"form: irregular; struct: intermediate; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-239;HII;04:31:17.40;+18:07:00.1;;5;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 239; Sh 2-239; S239";;"form: irregular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-240;HII;05:41:00.33;+28:06:13.4;;180;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 240; Sh 2-240; S240";;"form: circular; struct: filamentary; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-241;HII;06:04:07.31;+30:14:52.0;;10;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 241; Sh 2-241; S241";;"form: irregular; struct: intermediate; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-242;HII;05:51:51.38;+27:00:38.5;;7;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 242; Sh 2-242; S242";;"form: circular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-243;HII;05:39:22.52;+23:17:26.6;;6;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 243; Sh 2-243; S243";;"form: irregular; struct: intermediate; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-244;HII;05:34:30.73;+21:57:08.6;;5;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 244; Sh 2-244; S244";;"form: elliptical; struct: filamentary; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-245;HII;04:02:33.45;+04:07:42.9;;720;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 245; Sh 2-245; S245";;"form: irregular; struct: intermediate; bright: 2/3; stars: 2";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-246;HII;05:02:09.59;+14:05:44.5;;65;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 246; Sh 2-246; S246";;"form: irregular; struct: amorphous; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-247;HII;06:08:30.34;+21:37:11.9;;9;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 247; Sh 2-247; S247";;"form: circular; struct: amorphous; bright: 2/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-248;HII;06:16:38.68;+22:30:00.9;;50;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 248; Sh 2-248; S248";;"form: elliptical; struct: filamentary; bright: 3/3; stars: 4";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-249;HII;06:20:58.23;+23:05:23.3;;80;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 249; Sh 2-249; S249";;"form: irregular; struct: intermediate; bright: 2/3; stars: 6";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-250;HII;04:40:11.32;+07:21:46.2;;10;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 250; Sh 2-250; S250";;"form: irregular; struct: intermediate; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-251;HII;04:32:49.83;+05:51:45.8;;35;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 251; Sh 2-251; S251";;"form: irregular; struct: filamentary; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-252;HII;06:09:39.34;+20:30:01.6;;40;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 252; Sh 2-252; S252";;"form: irregular; struct: intermediate; bright: 3/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-253;HII;06:25:43.92;+20:01:41.2;;5;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 253; Sh 2-253; S253";;"form: irregular; struct: amorphous; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-254;HII;06:12:20.90;+18:02:37.6;;11;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 254; Sh 2-254; S254";;"form: elliptical; struct: intermediate; bright: 2/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-255;HII;06:13:08.72;+17:58:30.6;;3;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 255; Sh 2-255; S255";;"form: circular; struct: intermediate; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-256;HII;06:12:38.64;+17:56:35.0;;1;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 256; Sh 2-256; S256";;"form: irregular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-257;HII;06:12:50.72;+17:58:33.2;;3;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 257; Sh 2-257; S257";;"form: circular; struct: intermediate; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-258;HII;06:13:32.59;+17:55:27.1;;1;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 258; Sh 2-258; S258";;"form: irregular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-259;HII;06:11:37.37;+17:26:43.8;;2;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 259; Sh 2-259; S259";;"form: circular; struct: amorphous; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-260;HII;04:55:07.87;+05:39:42.2;;22;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 260; Sh 2-260; S260";;"form: irregular; struct: filamentary; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-261;HII;06:08:57.20;+15:48:06.9;;45;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 261; Sh 2-261; S261";;"form: irregular; struct: intermediate; bright: 2/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-262;HII;05:06:45.24;+06:10:04.3;;20;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 262; Sh 2-262; S262";;"form: irregular; struct: intermediate; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-263;HII;05:21:44.68;+08:23:56.5;;22;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 263; Sh 2-263; S263";;"form: elliptical; struct: intermediate; bright: 2/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-264;HII;05:35:12.53;+09:56:00.4;;390;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 264; Sh 2-264; S264";;"form: circular; struct: amorphous; bright: 2/3; stars: 9";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-265;HII;05:18:36.38;+07:26:23.4;;70;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 265; Sh 2-265; S265";;"form: irregular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-266;HII;06:18:49.84;+15:16:40.5;;1;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 266; Sh 2-266; S266";;"form: elliptical; struct: intermediate; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-267;HII;06:15:53.34;+14:16:06.0;;4;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 267; Sh 2-267; S267";;"form: circular; struct: amorphous; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-268;HII;06:10:15.05;+13:19:55.1;;60;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 268; Sh 2-268; S268";;"form: irregular; struct: amorphous; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-269;HII;06:14:34.24;+13:49:17.4;;4;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 269; Sh 2-269; S269";;"form: irregular; struct: intermediate; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-270;HII;06:10:13.78;+12:48:55.2;;1;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 270; Sh 2-270; S270";;"form: irregular; struct: intermediate; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-271;HII;06:14:54.64;+12:21:14.2;;2;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 271; Sh 2-271; S271";;"form: circular; struct: intermediate; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-272;HII;06:15:00.60;+12:20:13.3;;1;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 272; Sh 2-272; S272";;"form: elliptical; struct: amorphous; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-273;HII;06:40:48.50;+09:54:28.7;;250;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 273; Sh 2-273; S273";;"form: irregular; struct: intermediate; bright: 3/3; stars: 11";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-274;HII;07:29:06.90;+13:15:42.8;;8;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 274; Sh 2-274; S274";;"form: irregular; struct: filamentary; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-275;HII;06:31:42.89;+04:55:46.5;;100;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 275; Sh 2-275; S275";;"form: circular; struct: intermediate; bright: 3/3; stars: 9";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-276;HII;05:27:28.12;-03:57:54.9;;1200;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 276; Sh 2-276; S276";;"form: elliptical; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-277;HII;05:40:43.63;-02:26:49.7;;120;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 277; Sh 2-277; S277";;"form: irregular; struct: intermediate; bright: 3/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-278;HII;05:19:48.23;-05:39:49.1;;50;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 278; Sh 2-278; S278";;"form: irregular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-279;HII;05:35:20.15;-04:48:03.2;;20;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 279; Sh 2-279; S279";;"form: irregular; struct: intermediate; bright: 3/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-280;HII;06:34:19.33;+02:32:23.5;;40;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 280; Sh 2-280; S280";;"form: irregular; struct: intermediate; bright: 2/3; stars: 4";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-281;HII;05:34:54.60;-05:27:59.6;;60;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 281; Sh 2-281; S281";;"form: irregular; struct: intermediate; bright: 3/3; stars: 3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-282;HII;06:37:58.96;+01:30:51.7;;35;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 282; Sh 2-282; S282";;"form: irregular; struct: intermediate; bright: 2/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-283;HII;06:38:39.11;+00:42:45.8;;3;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 283; Sh 2-283; S283";;"form: irregular; struct: amorphous; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-284;HII;06:45:02.02;+00:13:50.7;;80;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 284; Sh 2-284; S284";;"form: elliptical; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-285;HII;06:55:12.36;-00:30:36.5;;1;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 285; Sh 2-285; S285";;"form: circular; struct: intermediate; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-286;HII;06:54:33.25;-04:30:31.6;;6;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 286; Sh 2-286; S286";;"form: elliptical; struct: amorphous; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-287;HII;06:59:32.64;-04:48:14.0;;12;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 287; Sh 2-287; S287";;"form: irregular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-288;HII;07:08:33.90;-04:18:30.0;;1;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 288; Sh 2-288; S288";;"form: irregular; struct: intermediate; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-289;HII;06:45:56.59;-07:20:18.4;;11;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 289; Sh 2-289; S289";;"form: elliptical; struct: amorphous; bright: 1/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-290;HII;08:54:11.08;+08:55:16.1;;17;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 290; Sh 2-290; S290";;"form: elliptical; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-291;HII;06:55:25.17;-08:01:39.5;;8;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 291; Sh 2-291; S291";;"form: elliptical; struct: amorphous; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-292;HII;07:04:25.80;-10:26:56.3;;21;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 292; Sh 2-292; S292";;"form: irregular; struct: intermediate; bright: 3/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-293;HII;07:01:47.71;-11:18:34.2;;11;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 293; Sh 2-293; S293";;"form: circular; struct: amorphous; bright: 2/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-294;HII;07:16:34.50;-09:26:37.6;;7;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 294; Sh 2-294; S294";;"form: irregular; struct: intermediate; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-295;HII;07:02:41.38;-11:27:41.7;;8;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 295; Sh 2-295; S295";;"form: circular; struct: amorphous; bright: 1/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-296;HII;07:05:48.05;-11:13:07.9;;200;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 296; Sh 2-296; S296";;"form: irregular; struct: intermediate; bright: 3/3; stars: 10";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-297;HII;07:05:15.42;-12:20:03.5;;7;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 297; Sh 2-297; S297";;"form: irregular; struct: intermediate; bright: 3/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-298;HII;07:18:37.96;-13:11:55.3;;22;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 298; Sh 2-298; S298";;"form: irregular; struct: filamentary; bright: 3/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-299;HII;07:30:39.76;-15:17:34.0;;1;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 299; Sh 2-299; S299";;"form: irregular; struct: amorphous; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-300;HII;07:31:03.51;-15:24:37.3;;3;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 300; Sh 2-300; S300";;"form: elliptical; struct: amorphous; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-301;HII;07:09:48.84;-18:28:42.8;;9;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 301; Sh 2-301; S301";;"form: elliptical; struct: intermediate; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-302;HII;07:31:41.88;-16:58:42.7;;21;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 302; Sh 2-302; S302";;"form: elliptical; struct: amorphous; bright: 2/3; stars: 4";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-303;HII;06:54:01.79;-22:25:30.2;;90;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 303; Sh 2-303; S303";;"form: elliptical; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-304;HII;06:43:26.60;-24:07:59.9;;200;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 304; Sh 2-304; S304";;"form: irregular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
